KEY,NOTES_FOR_LOCALISATION,LINE_EN - FORMULA FIELDS DONT CHANGE HERE,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$notification_a01_title,,Plant Some Darn Trees,XX,Replante ça !,Pianta quegli alberi,Pflanze ein paar Bäume,Ya planta esos árboles,Quem Soltou Hexxus?,木を植えてみよう,,,种些见鬼的树,XX
$notification_a02_title,,Ooops,XX,Ooooups,Ooops,Ups ...,Uuuups,Ops,おぉっと,,,哎呀,XX
$notification_a03_title,,Living in Each Other's Pockets,XX,Comme deux doigts de la main,Hammer to Fall!,Hammer!,Inseparables,Fica Esperto,お互いのポケットに住む,,,熟悉却那么陌生,XX
$notification_a04_title,,Commitment and Sheer Will,XX,Une volonté de fer,Impegno e buona volontà,Engagement und starker Wille,Fuerza de voluntad,Comprometimento e Força de Vontade,責任と強い意志,,,决心与毅力,XX
$notification_a05_title,,No Rest,XX,Insomniaque,Nessun riposo,Keine Pause,Sin descanso,Sem Descanso,待ったなし,,,不眠不休,XX
$notification_a06_title,,Scrooge McBee,XX,Balthabeil Picsou,Aperon de Aperoni,Geizhals,Abejandro Magno,Tio Abelhinhas,スクルージ・マクビー,,,守财蜂,XX
$notification_a07_title,"Whatever Name you give the bee needs to match the name used in the Quests sheet, $book1_20_page2_2 (row141) and $book1_1_page2_3 (row10) as well as the two items in this sheet, $notification_a07_title (row 8 in this sheet) and $notification_a07_desc (row 46 in this sheet) as it's all connected",An Army Of Beeatrice,XX,Une armée de Beillatrice,Un esercito di Melisse,Eine Armee aus Bienatricen,Un ejército de Abelinas,Um Exército de Melissas,ハッチの編成,,,蜜阿特丽斯军队,XX
$notification_a08_title,,It Came To Me In A Dream,XX,Je l'ai vue dans un rêve,Mi è venuta in sogno,Im Traum eingefallen,Lo vi en un sueño,Vieram em um Sonho,夢に出てきたんだ,,,是我在梦中发现的,XX
$notification_a09_title,,Life... Finds A Way...,XX,La vie trouve toujours un chemin...,La vita... trova un modo...,Das Leben ... findet immer einen Weg ...,La vida siempre se abre paso,A Vida... Dá seu Jeito...,人生の...行先とは...,,,生命...找到出路...,XX
$notification_a10_title,,Fizzy Whizzy Let's Get Busy,XX,Du fait maison !,Voglia di Apicola,Abgefüllt,Las ansias... de Apicola,Quem fabrica Apicola,ハチミツジルは必需,,,滋滋冒泡的美味,XX
$notification_a11_title,,Ooh Shiny,XX,"Ooh, ça brille","Ooh, come brilla","Ui, es glitzert!","¡Aaah, cómo brilla!","Uuuh, Brilhante",輝いている,,,"噢, 闪闪发光",XX
$notification_a12_title,,Hivemother's Favour,XX,Faveur de la Sainte-Reine,La benevolenza della Madre degli Alveari,Die Gunst der Bienenmutter,Favor de la Madre de Colmenas,Benção da Mãe das Colmeias,巣の主のお気に入り,,,巢母的青睐,XX
$notification_a13_title,,Holy Orders,XX,Sacrement,Ordini sacri,Heilige Aufgaben,Órdenes sagradas,Ordens Sacras,階級制度,,,神圣秩序,XX
$notification_a14_title,,First Steps,XX,Premiers pas,Primi passi,Erste Schritte,Primeros pasos,Primeiros Passos,ファーストステップ,,,初试身手,XX
$notification_a15_title,,Following In Their Footsteps,XX,Suivre sa voie,Seguendo i suoi insegnamenti,In ihre Fußstapfen treten,Tras sus pasos,Seguindo Seus Passos,足音に耳を澄ませて,,,追随前人脚步,XX
$notification_a16_title,,A Keeper Through And Through,XX,Véritable spécialiste,Sentinella delle api,Vollblut-Imker,Centinela de las abejas,Apicultor de Ponta-a-ponta,養蜂家は進む,,,不折不扣的养蜂人,XX
$notification_a17_title,,Learning The Ropes,XX,Apprendre les ficelles du métier,Imparare le basi,Einarbeitungsphase,Aprender lo básico,Pegando o Jeito,コツを得る,,,摸清门路,XX
$notification_a18_title,,Keeping Is In Our Blood,XX,T'as ça dans le sang,Apicoltura nel sangue,Honig in den Adern,Cuidarlas está en la sangre,Apicultura está no seu Sangue,養蜂の血が流れている,,,养蜂之血在体内奔流,XX
$notification_a19_title,,Master Apiarist,XX,Doctorat en apiculture,Apicoltore modello,Imkermeister,Maestría en apicultura,Mestre da Apicultura,養蜂マスター,,,养蜂大师,XX
$notification_a20_title,,Breaking News,XX,Édition spéciale,Notizia dell'ultim'ora,Eilmeldung,Noticia de último momento,Notícias Fresquinhas,ビッグニュース,,,大新闻,XX
$notification_a21_title,,Making Headlines,XX,À la une,Prima pagina,Schlagzeilen machen,Llegaste a los titulares,Virou Manchete,報道される,,,上头条,XX
$notification_a22_title,,Living Legend,XX,Légende vivante,Leggenda vivente,Lebende Legende,Leyenda viva,Lenda Viva,生きた伝説,,,当代传奇,XX
$notification_a23_title,,What Do We Do With a Drunken Sailor,XX,Que faire d'un marin ivre ?,Cosa fare con un marinaio ubriaco,Was man mit einem betrunkenen Segler anstellt,Qué hacer con un marinero ebrio,"Quem te ensinou a nadar, Marinheiro só",酔った船長の扱い方,,,拿醉酒的船长怎么办,XX
$notification_a24_title,,Doctors Orders,XX,Disciple efficace,Ordini del dottore,Ärtztliche Anordnung,Órdenes de los médicos,Recomendações Médicas,博士の命令,,,是医生的要求,XX
$notification_a25_title,,The Hero APICO Needs,XX,APICO avait bien besoin de toi,L'eroe di cui ha bisogno APICO,"Der Held, den APICO braucht",La figura que APICO necesita,A Salvação que APICO Precisa,APICOが求めた英雄,,,蜂语镇需要英雄,XX
$notification_a26_title,,What're Ya Buying?,XX,Qu'est-ce que t'achètes ?,Cosa compri?,Was kaufste?,¿Qué estás comprando?,O que quer comprar?,何 買うんで？,,,你想买什么?,XX
$notification_a27_title,,Hehehe... Thank You,XX,Héhéhé... Merci,Eheheh... grazie,Hehehe ... Danke,"Je, je, je... ¡Gracias!",Hehehe... Obrigado,ありがとよ,,,嘿嘿嘿...谢谢,XX
$notification_a28_title,,Music Makes Me Lose Control,XX,Le cœur à la danse,La musica mi fa perdere il controllo,Musik lässt mich die Kontrolle verlieren,La música me desquicia,Rebolando até o Chão,音楽で狂っちゃう,,,音乐使我失控,XX
$notification_a29_title,,Number 1 Fan,XX,Mélomane,Fan numero 1,Größter Fan,Fan número 1,Fã Número 1,ファン1号,,,头号粉丝,XX
$notification_a30_title,,Like Clockwork,XX,De l'huile dans les rouages,Come un ingranaggio,Wie ein Uhrwerk,Como un relojito,Engrenagens da Vida,ぜんまいじかけ,,,发条般精密,XX
$notification_a31_title,,Powered By Bees,XX,Propulsé par les abeilles,L'energia delle api,Angetrieben von Bienen,Energía de las abejas,Alimentado por Abelhas,電力供給：ハチ,,,由蜜蜂供能,XX
