KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$bee_undiscovered,Message in the bee book when a species has yet to be microscoped,Use a microscope on this species to unlock trait information!,XX,Examine cette espèce au microscope pour découvrir ses caractéristiques !,Usa un microscopio su questa specie per sbloccare le informazioni sulle sue caratteristiche!,"Benutze ein Mikroskop für diese Art, um Informationen über ihre Eigenschaften zu erhalten!",¡Observa esta especie en un microscopio para desbloquear información sobre sus rasgos!,Use um microscópio nessa espécie para descobrir informações de características!,特徴を見るには顕微鏡を活用しよう！,,,用显微镜观察这个物种以解锁特性信息!,XX
$book2_lifespan,Needs to match the keyword in L_Keywords,♒ Lifespan,XX,♒ Durée de vie,♒ Longevità,♒ Lebenserwartung,♒ Longevidad,♒ Tempo de Vida,♒寿命,,,♒ 寿命,XX
$book2_productivity,Needs to match the keyword in L_Keywords,♓ Productivity,XX,♓ Productivité,♓ Produttività,♓ Produktivität,♓ Productividad,♓ Produtividade,♓ はたらき,,,♓ 生产力,XX
$book2_fertility,Needs to match the keyword in L_Keywords,♈ Fertility,XX,♈ Fertilité,♈ Fertilità,♈ Fruchtbarkeit,♈ Fertilidad,♈ Fertilidade,♈繁殖,,,♈ 繁殖力,XX
$book3_stability,Needs to match the keyword in L_Keywords,♉ Stability,XX,♉ Stabilité,♉ Stabilità,♉ Stabilität,♉ Estabilidad,♉ Estabilidade,♉変異,,,♉ 变异性,XX
$book2_behaviour,Needs to match the keyword in L_Keywords,♊ Behaviour,XX,♊ Comportement,♊ Comportamento,♊ Verhalten,♊ Comportamiento,♊ Comportamento,♊活動の時間,,,♊ 活动时间,XX
$book2_climate,Needs to match the keyword in L_Keywords,♋ Climate,XX,♋ Climat,♋ Clima,♋ Klima,♋ Clima,♋ Clima,♋気候,,,♋ 适宜气候,XX
$book2_rain,,☿ Rain-lover,XX,☿ Pluviophile,☿ Amante della pioggia,☿ Regenliebhaber,☿ Le gusta la lluvia,☿ Amante de chuvas,☿ 雨を好む,,,☿ 喜雨,XX
$book2_snow,,☿ Snow-lover,XX,☿ Nivophile,☿ Amante della neve,☿ Schneeliebhaber,☿ Le gusta la nieve,☿ Amante de neve,☿ 雪を好む,,,☿ 喜雪,XX
$book2_grumpy,,☿ Aggressive,XX,☿ Agressive,☿ Aggressiva,☿ Aggressiv,☿ Agresiva,☿ Agressiva,☿怒りやすい,,,☿ 好斗,XX
$book2_0_id,,Overview,XX,Vue d'ensemble,Panoramica,Überblick,Resumen,Visão Geral,概要,,,概览,XX
$book2_0_page2_de1,,"In this demo there's only 9 species of bee to discover, but in the full game there's over 30 different species to find across 5 different tiers.",XX,"Dans cette démo, il n'y a que 9 espèces d'abeilles à découvrir, mais dans le jeu complet, plus de 30 espèces différentes sur 5 niveaux différents t'attendent.","In questa demo ci sono solo 9 specie di api da scoprire, ma nel gioco completo ne troverai oltre 30, distinte in 5 categorie.","In dieser Demo gibt es nur 9 Bienenarten zu entdecken, aber im vollständigen Spiel gibt es über 30 verschiedene Arten auf 5 verschiedenen Stufen zu finden.","En esta demo, solo hay nueve especies de abejas por descubrir. Sin embargo, en el juego completo, hay treinta especies diferentes distribuidas en cinco categorías.","Nessa demo existem apenas 9 espécies de abelhas a serem descoberta, mas no jogo completo existem mais de 30 espécies espalhadas em 5 níveis diferentes.",デモではハチは9種類かいないけれど、ゲーム本編では30種類以上のハチが見つけられるよ。5つのレベルに分かれているよ。,,,"在此试玩版中只有9种蜜蜂等待发现, 但正式版游戏中有5个级别, 超过30种不同的种类可以寻找.",XX
