KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$butterfly_undiscovered,,Discover this butterfly to learn more about its effects!,XX,Découvre ce papillon pour en savoir plus sur ses effets !,Scopri questa farfalla per saperne di più sui suoi effetti!,Entdecke diesen Schmetterling und erfahre mehr über seine Wirkung!,¡Descubre esta mariposa para aprender más sobre sus efectos!,Descubra essa borboleta para aprender mais sobre seus efeitos!,この種のチョウを見つけて効果を見てみよう！,,,,
$generic_effect,,Causes cross-mutation of nearby flowers.,XX,Provoque une mutation croisée des fleurs environnantes.,Provoca una mutazione incrociata dei fiori circostanti.,Verursacht Kreuzmutation bei nahe gelegenen Blumen.,Causa mutaciones cruzadas entre las flores cercanas.,Causa mutação cruzada entre flores próximas,近くの花同士で交雑変異を起こす。,,,,
$book5_0_id,,Overview,XX,Vue d'ensemble,Panoramica,Übersicht,Resumen,Resumo,概要,,,,
$book5_1_id,,Finding Butterflies,XX,Trouver des papillons,Trovare le farfalle,Schmetterlinge finden,Encontrar mariposas,Encontrando Borboletas,チョウを見つける,,,,
$book5_1_page1_1,,"As you explore the islands, you're bound to come across butterflies fluttering about!",XX,"En explorant les îles, tu croiseras forcément des papillons virevoltant dans la nature !","Esplorando le isole, ti imbatterai in diverse farfalle svolazzanti!","Wenn du die Inseln erkundest, triffst du bestimmt auf Schmetterlinge, die herumflattern!","Mientras exploras las islas, ¡seguro que te encuentras con mariposas aleteando por ahí!","Conforme explora as ilhas, você irá encontrar borboletas borboletando por aí!",島を探索していると、チョウがひらひらと舞っていることがあるよ！,,,,
$book5_1_page1_2,,"Each butterfly has a preferred set of flowers it likes, as well as having specific conditions it likes.",XX,"Chaque papillon a des fleurs préférées, ainsi que des conditions spécifiques qu'il apprécie.","Ogni farfalla ha un gruppo di fiori preferiti, oltre a condizioni specifiche che apprezza.","Jeder Schmetterling hat eine bevorzugte Gruppe von Blumen, die er mag, und auch bestimmte Bedingungen, die er mag.",Cada mariposa tiene un conjunto de flores y condiciones específicas favoritas.,"Cada borboleta tem um conjunto de flores preferido, assim como condições específicas que gosta.",チョウには花や気候の好みがある。,,,,
$book5_1_page2_1,,"To catch a butterfly, use a butterfly net on the flower being visited.",XX,"Pour en attraper un, utilise un filet à papillons sur la fleur qui reçoit la visite d'un papillon.","Per catturare una farfalla, usa un retino per farfalle sul fiore su cui attualmente si è poggiato l'animale.","Um einen Schmetterling zu fangen, benutze ein Schmetterlingsnetz auf der Blume, die gerade besucht wird.","Para atrapar a una mariposa, usa la red para mariposas sobre la flor donde se pose.","Para capturar uma borboleta, use uma rede de borboletas na flor sendo visitada.",捕まえるには、チョウが止まっている花に近づいてチョウ取り網を使おう。,,,,
$book5_1_page2_2,,"You can then put your new friends up in butterfly hotels, free of charge!",XX,Tu peux ensuite offrir un séjour à tes nouveaux amis dans un hôtel à papillons !,"Poi potrai offrire un soggiorno alle tue nuove amiche in un albergo per farfalle, tutto gratis!",Du kannst deine neuen Freunde dann kostenlos in Schmetterlingshotels unterbringen!,"A continuación, podrás albergar a tu nueva amiguita en un hotel para mariposas, ¡sin costo alguno!","Então você poderá colocar suas novas amigas em hotéis de borboletas, sem custos adicionais!",新しいお友だちはチョウのホテルに泊めてあげよう、無料でね！,,,,
$book5_2_id,,Repopulating,XX,Repeuplement,Ripopolamento,Wiederbelebung,Recuperar poblaciones,Repopulando,復活と再繁殖,,,,
$book5_2_page1_1,,"When butterflies have finished their stay in a hotel, they'll lay eggs! These can be used in a nursery to grow new butterflies.",XX,"À la fin de leur séjour dans un hôtel, les papillons pondent des œufs. Tu peux les placer dans une nurserie pour qu'ils deviennent des papillons.","Quando le farfalle finiscono di soggiornare in un albergo, depongono delle uova! Tali uova possono essere usate in un vivaio per allevare nuove farfalle.","Wenn die Schmetterlinge ihren Aufenthalt in einem Hotel beendet haben, legen sie Eier! Diese können in einem Brutkasten verwendet werden, um neue Schmetterlinge zu züchten.","Cuando las mariposas terminen su estadía en un hotel, ¡pondrán huevos! Puedes desarrollar estos huevos en un criadero para obtener nuevas mariposas.","Quando borboletas encerram sua estadia num hotel, elas deixarão ovos! Eles podem ser usados em um berçário para criar novas borboletas.",チョウはホテルでの滞在を終えたら卵を産むよ！飼育場で新しいチョウを育てられるよ。,,,,
