KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$npc1_AA,[Skipper Talking] Default player greeting,Well met!! What can I do for yah?,XX,Bien le bonjour ! Quoi que j'puisse faire pour toi ?,Piacere di conoscerti! Cosa posso fare per te!,Ahoi! Was kann ich für dich tun?,¡Buenas y santas! ¿Qué puedo hacer por ti?,Olá!!! Que é que você precisa?,どうも！よくきたね。,,,你好呀伙计! 有什么事儿吗?,XX
$npc1_BA,[Skipper Talking] Introduction dialogue,"Hoho! We made it {PLAYER.NAME}! And just as yah were getting yah sea legs, hoho! Here we are, Port APICO, and what a luverly day it is!",XX,"Hoho ! On l'a fait, {PLAYER.NAME} ! Tu commences à avoir l'pied marin ! Nous v'là à Port APICO. Quelle belle journée qui s'annonce !","Oh oh! Ce l'abbiamo fatta, {PLAYER.NAME}! E appena prima che ti venisse il mal di mare, ah ah! Siamo a Porto APICO, e che bella giornata che è!","Hohoho! Wir haben es geschafft {PLAYER.NAME}! Und gerade, als du Schwimmhäute angesetzt hast, hoho! Hier sind wir, Port APICO, und was für ein herrlicher Tag das ist!","¡Jo, jo! ¡Lo logramos, {PLAYER.NAME}! Y justo que estaban por salirte agallas, ¿eh? ¡Jo, jo! Aquí estamos, en Puerto APICO, ¡y qué día más precioso hace!","Ohoho! Chegamos {PLAYER.NAME}! Logo agora que você tava criando guelras, ohoho! Chegamos ao Porto APICO, e que dia mais lindo de se ver!",ほっほっ！よくやったじゃないか{PLAYER.NAME}！船の上でもしっかり歩けているね、ほっほっ！APICO港に到着したぞ、なんて良い日じゃ！,,,"吼吼! {PLAYER.NAME}, 我们到啦! 你的晕船才刚好一点吧, 吼吼! 这就是蜂语镇港口喽, 今天天气可真好哇!",XX
$npc1_DEMO_BA,[Skipper Talking] Introduction dialogue,"Hoho! We made it {PLAYER.NAME}! And just as yah were getting yah sea legs, hoho! Here we are, Port APICO, and what a luverly day for a demo!",XX,"Hoho ! On l'a fait, {PLAYER.NAME} ! Tu commences à avoir l'pied marin, hoho ! Nous v'là à Port APICO. Quelle belle journée pour entamer une démo !","Oh oh! Ce l'abbiamo fatta, {PLAYER.NAME}! E appena prima che ti venisse il mal di mare, ah ah! Siamo a Porto APICO, e che bella giornata per una demo!","Hohoho! Wir haben es geschafft {PLAYER.NAME}! Und gerade, als du Schwimmhäute angesetzt hast, hoho! Hier sind wir, Port APICO, und was für ein herrlicher Tag das für eine Demo ist!","¡Jo, jo! ¡Lo logramos, {PLAYER.NAME}! Y justo que estaban por salirte agallas, ¿eh? ¡Jo, jo! Aquí estamos, en Puerto APICO, ¡y qué día más precioso para una demo!","Ohoho! Chegamos {PLAYER.NAME}! Logo agora que você tava criando guelras, ohoho! Chegamos ao Porto APICO, e que dia mais lindo para uma demo!",ほっほっ！よくやったじゃないか{PLAYER.NAME}！船の上でもしっかり歩けているね、ほっほっ！APICO港に到着したぞ、デモに最適な日じゃな！,,,"吼吼! {PLAYER.NAME}, 我们到啦! 你的晕船才刚好一点吧, 吼吼! 这就是蜂语镇港口喽, 今天天气可真好哇!",XX
$npc1_BB,[Skipper Talking] Introduction dialogue,It was jolly good to have yah aboard again matey... takes me back! Do yah still remember yah way around the place?,XX,"C'était vraiment agréable de t'avoir à nouveau à bord, matelot... Ça me rappelle des souvenirs ! Tu te souviens du chemin ?",È stato bello riaverti a bordo con me... che tuffo nel passato! Ti ricordi ancora come orientarti qui intorno?,"Es war sehr schön, dich wieder an Bord zu haben ... das versetzt mich zurück! Findest du dich hier noch zurecht?","Fue todo un placer tenerte a bordo otra vez, contramaestre... ¡Me recuerda a mi juventud! ¿Todavía te acuerdas del lugar?","Adorei ter você no meu navio de volta, camarada... me lembra dos bons dias! Ainda se lembra da região?",また船に乗ってくれてうれしい限りじゃよ...ワシも戻ってこられた！このあたりの道はまだ覚えているかね？,,,你能再次上船真是太好了...好像一下回到了从前! 还记得这里怎么走不?,XX
$npc1_BC,[Skipper Talking] Introduction dialogue,"Hoho! No problem, here have my map, I know this place like the back of my boat!",XX,"Hoho ! Pas de problème, voici ma carte. Je connais le coin comme ma poche !","Oh oh! Nessun problema, ecco la mia mappa. Io conosco questo posto come il retro della mia barca!","Hoho! Kein Problem, hier ist meine Karte, ich kenne diesen Ort wie meine Westentasche!","¡Jo, jo! No hay problema. Toma: quédate con mi mapa. ¡Conozco este sitio como la proa de mi barco!","Ohoho! Sem problemas, fique com meu mapa, eu conheço esse lugar como se fosse a palma do meu timão!",ほっほっ！問題ないよ。ほれ、ワシの地図じゃ。ワシは船と同じくらいこのあたりに詳しいんじゃよ。,,,"吼吼! 没问题. 给, 把地图拿上, 这地方俺可太熟了!",XX
$npc1_BD,[Skipper Talking] Introduction dialogue,"Anyway, yah best go see the old girl - she's just at the end of the pier and down to the left. She's been a'buzzing ever since yah letter!",XX,"M'enfin, tu ferais mieux d'aller voir la proprio. Elle est juste au bout de la jetée, en bas à gauche. Elle tient plus en place depuis ta lettre !","Comunque, faresti meglio ad andare a trovare la vecchiarella - la trovi alla fine del molo, giù a sinistra. Non fa che ronzare da quando ha ricevuto la tua lettera!","Am besten gehst du zu dem alten Mädchen - sie ist gleich am Ende des Piers und unten links. Sie hat schon Bienen im Hintern, seit du geschrieben hast!","En fin, será mejor que visites a la muchacha canosa; ve al final del muelle, luego hacia abajo y a la izquierda. ¡Desde que recibimos tu carta que no para de zumbar como abeja!","Enfim, é bom você visitar a dona - ela está no final do píer, seguindo pela esquerda e abaixo. Ela não parou de zumbir desde que leu sua carta!",そろそろ、おばあさんに会いに行ったらどうじゃ。波止場のはしっこの左側にいるはずじゃ。手紙が届いてからそれはもうブンブンと楽しみにしていたよ！,,,"对了, 你赶紧去看看那老太吧, 码头尽头往左走就是. 自从你来信以后, 她就成天念叨呐!",XX
$npc1_DEMO_BD,[Skipper Talking] Introduction dialogue,Your dear ol' Nana is off exploring at the moment but she told me to give you your Grandpa's Journal - should help you find ya way around!,XX,"Ta mémé vient de partir en exploration, mais elle m'a dit de te passer le journal de ton grand-père. Voilà que devrait t'aider à trouver ton chemin !","In questo momento la vecchia Maya è in esplorazione, ma mi ha detto di darti il diario del nonno - per aiutarti a trovare la tua strada!","Deine liebe alte Oma ist im Moment auf Entdeckungsreise, aber sie hat mir gesagt, ich soll dir das Tagebuch deines Großvaters geben - das sollte dir helfen, dich zurechtzufinden!","Tu querida Nana está explorando de momento, pero me pidió que te diera el diario de tu abuelo. ¡Te ayudará a conocer un poco más el lugar!","Sua querida Vovó está explorando no momento, mas ela pediu para que eu te entregasse o Diário do seu Avô - vai te ajudar a saber o que fazer!",キミのおばあさんは探検に行っているようだが、おじいさんのジャーナルを渡すよう言われていたんじゃ。これで迷子にならずにすむじゃろう！,,,"你亲爱的奶奶现在出去探险咯, 但她让我把你爷爷的日志交给你, 应该能帮你找到路!",XX
$npc1_BE,[Skipper Talking] Introduction dialogue,"If yah need anything, just holler - I've got a few trinkets yah might find useful. Now, off yah go - luck of the Hivemother be with yah - and remember, a smooth sea never made a skilled sailor, hoho!",XX,"S'tas besoin de quoi que ce soit, n'ai pas peur de d'mander ! J'ai quelques babioles qui pourraient t'être utiles. Que les bénédictions de la Sainte-Reine t'accompagnent. Et surtout n'oublie pas, une mer calme n'a jamais fait un bon marin, hoho !","Se ti serve qualcosa, fammi un fischio - ho qualche gingillo che potresti trovare utile. E ora vai - e che la Madre degli Alveari ti accompagni. Ricorda bene: un mare calmo non ha mai fatto un marinaio esperto, oh oh!","Wenn du etwas brauchst, ruf einfach - ich habe ein paar Schmuckstücke, die dir nützlich sein könnten. Und jetzt ab mit dir - möge das Glück der Bienenmutter mit dir sein - und vergiss nicht, dass eine ruhige See noch nie einen guten Seemann gemacht hat, hoho!","Si necesitas algo, tan solo avísame; tengo un par de cositas que podrían servirte. Ahora ve, y que la fortuna de la Madre de la Colmena sea contigo. Ah, y recuerda: ¡ningún mar en calma hizo experto a un marinero!","Se precisar de algo, só chamar - tenho alguns negócios que podem te ajudar. Agora vai lá - bença da Mãe das Colmeias - e não se esqueça que mar calmo não ensina marinheiro, ohoho!",何か必要なものがあれば、言ってみるんじゃよ。ワシは便利な小道具を少しばかり持っている。それじゃあ行っておいで。巣の主のご運がつきますように...穏やかな海では船長の技術は鍛えられないのじゃ！ほっほっ！,,,"你有什么需要就喊一声, 我这有些小玩意, 你可能用得上. 好了, 快去吧, 愿巢母保佑你. 记得, 平静的海面可造就不了熟练的水手, 吼吼!",XX
$npc1_CA,[Skipper Talking] Default dialogue,Hoho! Yah look like yah compass is spinnin' - did yah Nana give yah Old Tom's journal? Yah can check it at any time with ◐,XX,Hoho ! Ta grand-mère t'a donné l'journal du vieux Tom ? Tu peux l'consulter à tout moment avec ◐.,Oh oh! Sembra che la tua bussola stia girando - Maya ti ha dato il diario del vecchio Tom? Puoi leggerlo quando vuoi usando ◐.,"Hoho! Du siehst aus, als würde sich dein Kompass drehen - hat deine Oma dir das Tagebuch des alten Tom gegeben? Du kannst es jederzeit mit ◐ öffnen.","¡Jo, jo! Tienes una cara de brújula giratoria... ¿La Nana te dio el diario del viejo Tom? Puedes abrirlo en cualquier momento con ◐.",Ohoho! Parece que sua bússola tá girando - a Dona Abélia te deu o diário do Véio Tom? Você pode abrir ele quando quiser com ◐,ほっほっ！方位磁針がくるくると回っておるのう。おばあさんからおじいさんのジャーナルを受け取ったかい？◐でいつでも見ることができるぞ。,,,吼吼! 你像个指南针一样在原地乱转呢. 你奶奶有没有把老汤姆的日志给你? 按◐就能随时打开查看.,XX
$npc1_DEMO_CA,[Skipper Talking] Default dialogue,Hoho! Yah look like yah compass is spinnin' - did yah peep at your ol' Grandpa's journal yet? Yah can check it at any time with ◐,XX,Hoho ! T'as jeté un œil au journal de ton grand-père ? Tu peux l'consulter à tout moment avec ◐.,Oh oh! Sembra che la tua bussola stia girando - hai già avuto il diario di tuo nonno? Puoi leggerlo quando vuoi usando ◐.,"Hoho! Du siehst aus, als würde sich dein Kompass drehen - hat deine Oma dir das Tagebuch deines alten Opas gegeben? Du kannst es jederzeit mit ◐ öffnen.","¡Jo, jo! Tienes una cara de brújula giratoria... ¿Tu abuela te dio el diario del viejo Tom? Puedes abrirlo en cualquier momento con ◐.",Ohoho! Parece que sua bússola tá girando - você já deu uma olhada no diário do seu velho? Você pode abrir ele quando quiser com ◐,ほっほっ！方位磁針がくるくると回っておるのう。おじいさんのジャーナルはもう見たかな？◐でいつでも見ることができるぞ。,,,吼吼! 你像个指南针一样在原地乱转呢. 你有没有看你爷爷的日志呀? 按◐就能随时打开查看.,XX
