KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$category01,Used as the player's own category only,Beekeeper,X,Adepte des abeilles,Tu,Imker,As de la apicultura,Você,養蜂家,,,养蜂人,X
$category02,,Book,X,Livre,Libro,Buch,Libro,Livro,本,,,书,X
$category03,,Storage,X,Stockage,Magazzino,Lager,Almacenamiento,Armazém,保管,,,储存,X
$category04,,Buttons,X,Boutons,Pulsanti,Schaltflächen,Botones,Botões,ボタン,,,按钮,X
$category05,,Quests,X,Quêtes,Missioni,Aufgaben,Misiones,Missões,クエスト,,,任务,X
$category06,,Mechanisms,X,Mécanismes,Meccanismi,Regler,Mecanismos,Mecanismos,ハンドル,,,装置,X
$category07,,Tabs,X,Onglets,Schede,Reiter,Pestañas,Abas,タブ,,,标签页,X
$category08,,Resource,X,Ressource,Risorsa,Ressourcen,Recurso,Recurso,リソース,,,资源,X
$category09,,Beekeeping,X,Apiculture,Apicoltura,Imkerei,Apicultura,Apicultura,養蜂,,,养蜂,X
$category10,,Tools,X,Outils,Attrezzi,Werkzeuge,Herramientas,Ferramentas,道具,,,工具,X
$category11,,Liquids,X,Liquides,Liquidi,Flüssigkeiten,Líquidos,Líquidos,液体,,,液体,X
$category12,Used for trash can / bin item only ,Anti-Storage,X,Anti-stockage,Anti-magazzino,Ablage P,Antialmacenamiento,Anti-armazém,廃棄,,,不可储存,X
$category13,,Decoration,X,Décoration,Decorazione,Dekoration,Decoración,Decoração,装飾,,,装饰,X
$category14,,Crafting,X,Artisanat,Creazione,Fertigen,Creación,Criação,クラフト,,,制造,X
$category15,,Time,X,Temps,Tempo,Zeit,Tiempo,Tempo,時間,,,时间,X
$category16,,Money,X,Argent,Denaro,Geld,Dinero,Dinheiro,お金,,,金钱,X
$category17,,Spice,X,Épice,Spezia,Gewürz,Especia,Especiaria,スパイス,,,香料,X
$category18,,Lighting,X,Luminaire,Illuminazione,Lichtquelle,Iluminación,Iluminação,灯かり,,,照明,X
$category19,,Transport,X,Transport,Trasporto,Transport,Transporte,Transporte,トランスポート,,,运输,X
$category20,,NPC,X,PNJ,PNG,Andere Charaktere,PNJ,NPC,NPC,,,NPC,X
$category21,,Music,X,Musique,Musica,Musik,Música,Música,音楽,,,音乐,X
$category22,,News,X,Actualités,Notizie,Nachrichten,Noticias,Notícias,ニュース,,,新闻,X
$category23,,TNgineer,X,TNgineer,Tngegnere,Technischer Ingenieur,TNgineer,TNgineer,TNgineer,,,TNgineer,
$player_tooltip,Used as the tooltip shown when the player hovers over themself,"It's you, you cutey!!",XX,"C'est toi, mon chou !","Sei tu, bellezza!!!","Das bist du, und du bist niedlich!!","¡Eres tú, preciosura!","É você, coisa fofa!!!",あなただよ、かわいいね！！,,,"是你, 小可爱!!",XX
$book1_name,,Grandpa's Guide,XX,Guide de papy,Guida del nonno,Opas Anleitung,La guía del abuelo,Guia do Vovô,おじいちゃんのガイド,,,爷爷的指南,XX
$book1_tooltip,,Press ◐ to open! You don't need to keep this item on you to open the guide.,XX,Appuie sur ◐ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir le guide.,Premi ◐ per aprirla! Non è necessario avere quest'oggetto con te per aprire la guida.,"Drücke ◐ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um die Anleitung zu öffnen.",¡Oprime ◐ para abrirla! No hace falta que lleves este objeto contigo para abrir la guía.,Aperte ◐ para abrir! Você não precisa manter este item com você para abrir o guia.,◐をクリックすると開くよ！持ち歩かなくてもガイドを開くことができるよ。,,,按◐打开! 无需将此物品带在身上也能打开指南.,XX
$book1_gp_tooltip,,Press ⑪ to open! You don't need to keep this item on you to open the guide.,XX,Appuie sur ⑪ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir le guide.,Premi ⑪ per aprirla! Non è necessario avere quest'oggetto con te per aprire la guida.,"Drücke ⑪ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um die Anleitung zu öffnen.",¡Oprime ⑪ para abrirla! No hace falta que lleves este objeto contigo para abrir la guía.,Aperte ⑪ para abrir! Você não precisa manter este item com você para abrir o guia.,⑪押すと開くよ！持ち歩かなくてもガイドを開くことができるよ。,,,按⑪打开! 无需将此物品带在身上也能打开指南.,XX
$book2_name,Needs to match the name given in L_Keywords for $npc4,Beelia's Almanac,XX,Almanach de Maya,Almanacco di Apelia,Christbienes Almanach,Almanaque de Nectina,Almanaque da Abélia,ミツ代のハチ図鑑,,,蜜丽亚的蜜蜂图鉴,XX
$book2_tooltip,,Press ◓ to open! You don't need to keep this item on you to open the almanac.,XX,Appuie sur ◒ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir l'almanach,Premi ◒ per aprirlo! Non è necessario avere quest'oggetto con te per aprire l'almanacco.,"Drücke ◓ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um den Almanach zu öffnen.",¡Oprime ◓ para abrirlo! No hace falta llevar este objeto contigo para abrir el almanaque.,Aperte ◓ para abrir! Você não precisa manter este item com você para abrir o almanaque.,◓をクリックすると開くよ！持ち歩かなくてもハチ図鑑を開くことができるよ。,,,按◓打开! 无需将此物品带在身上也能打开图鉴.,XX
$book2_gp_tooltip,,Press ⑪ to open! You don't need to keep this item on you to open the almanac.,XX,Appuie sur ⑪ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir l'almanach,Premi ⑪ per aprirlo! Non è necessario avere quest'oggetto con te per aprire l'almanacco.,"Drücke ⑪ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um den Almanach zu öffnen.",¡Oprime ⑪ para abrirlo! No hace falta que lleves este objeto contigo para abrir el almanaque.,Aperte ⑪ para abrir! Você não precisa manter este item com você para abrir o almanaque.,⑪押すと開くよ！持ち歩かなくてもハチ図鑑を開くことができるよ。,,,按⑪打开! 无需将此物品带在身上也能打开图鉴.,XX
$book3_name,Needs to match the name given in L_Keywords for $npc7,Abbee's Folio,XX,Recueil de Mellona,Volume di Acacia,Sabienes Buch,Libro de Abelia,Fólio da Abigamel,ミツ菜の植物図鑑,,,爱蜜的植物图鉴,XX
$book3_tooltip,,Press ◑ to open! You don't need to keep this item on you to open the folio.,XX,Appuie sur ◑ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir le recueil.,Premi ◑ per aprirlo! Non è necessario avere quest'oggetto con te per aprire il volume.,"Drücke ◐ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um das Buch zu öffnen.",¡Oprime ◑ para abrirlo! No hace falta que lleves este objeto contigo para abrir el libro.,Aperte ◑ para abrir! Você não precisa manter este item com você para abrir o fólio.,◒をクリックすると開くよ！持ち歩かなくても植物図鑑を開くことができるよ。,,,按◑打开! 无需将此物品带在身上也能打开图鉴.,XX
$book3_gp_tooltip,,Press ⑪ to open! You don't need to keep this item on you to open the folio.,XX,Appuie sur ⑪ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir le recueil.,Premi ⑪ per aprirlo! Non è necessario avere quest'oggetto con te per aprire il volume.,"Drücke ⑪ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um das Buch zu öffnen.",¡Oprime ⑪ para abrirlo! No hace falta que lleves este objeto contigo para abrir el libro.,Aperte ⑪ para abrir! Você não precisa manter este item com você para abrir o fólio.,⑪押すと開くよ！持ち歩かなくても植物図鑑を開くことができるよ。,,,按⑪打开! 无需将此物品带在身上也能打开图鉴.,XX
$book4_name,Needs to match the name given in L_Keywords for $npc1,Skipper's Map,XX,Carte du capitaine,Mappa di Skipper,Karte des Käpt'n,Mapa de don Costa,Mapa do Capitão,船長の地図,,,船长的地图,XX
$book4_tooltip,,Press ◒ to open! You don't need to keep this item on you to open the map.,XX,Appuie sur ◒ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir la carte.,Premi ◒ per aprirla! Non è necessario avere quest'oggetto con te per aprire la mappa,"Drücke ◒ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um die Karte zu öffnen.",¡Oprime ◒ para abrirlo! No hace falta llevar este objeto contigo para abrir el mapa.,Aperte ◒ para abrir! Você não precisa manter este item com você para abrir o mapa.,◒をクリックすると開くよ！持ち歩かなくても地図を開くことができるよ。,,,按◒打开! 无需将此物品带在身上也能打开地图.,XX
$book4_gp_tooltip,,Press ⑫ to open! You don't need to keep this item on you to open the map.,XX,Appuie sur ⑫ pour l'ouvrir ! Inutile de garder cet objet sur toi pour ouvrir la carte.,Premi ⑫ per aprirla! Non è necessario avere quest'oggetto con te per aprire la mappa.,"Drücke ⑫ zum Öffnen! Du musst diesen Gegenstand nicht bei dir haben, um die Karte zu öffnen.",¡Oprime ⑫ para abrirlo! No hace falta que lleves este objeto contigo para abrir el mapa.,Aperte ⑫ para abrir! Você não precisa manter este item com você para abrir o mapa.,⑫押すと開くよ！持ち歩かなくても地図を開くことができるよ。,,,按⑫打开! 无需将此物品带在身上也能打开地图.,XX
$inventory_name,,Inventory,XX,Inventaire,Inventario,Inventar,Inventario,Inventário,インベントリ,,,物品栏,XX
$button01_name,,Help Button,XX,Bouton Aide,Pulsante 'Aiuto',Hilfe-Knopf,Botón de ayuda,Botão de Ajuda,ヘルプボタン,,,帮助按钮,XX
$button01_tooltip,,Click to toggle this menu's help info,XX,Clique pour afficher les infos de ce menu,Clicca per mostrare le informazioni d'aiuto di questo menu.,"Klicke hier, um die Hilfe zu diesem Menü anzuzeigen",Haz clic para mostrar la información de ayuda de este menú.,Clique para ativar as informações de ajuda desse menu,クリックしてメニューのヘルプを表示,,,点击切换此菜单的帮助信息,XX
$button02_name,,Sort Button,XX,Bouton Tri,Pulsante 'Ordina',Sortieren-Knopf,Botón de ordenar,Botão de Organizar,並べ替えボタン,,,排序按钮,XX
$button02_tooltip,,Click to automatically sort this menu,XX,Clique pour trier automatiquement ce menu,Clicca per ordinare automaticamente questo menu.,"Klicke hier, um dieses Menü automatisch zu sortieren",Haz clic para ordenar este menú automáticamente.,Clique para automaticamente organizar esse menu,クリックしてメニューを自動で並べ替える,,,点击以自动整理此菜单的排序,XX
$button03_name,,Target Button,XX,Bouton Cible,Pulsante 'Obiettivo',Ziel-Knopf,Botón de objetivo,Botão de Marcação,対象ボタン,,,目标按钮,XX
$button03_tooltip,,Click to make this menu the target for shift-clicking items,XX,Clique pour désigner ce menu comme cible de la touche Shift,Clicca per impostare questo menu come destinazione degli oggetti selezionati con il tasto Shift.,"Klicke hier, um dieses Menü zum Ziel für Gegenstände mit gedrückter Shift-Taste zu machen",Haz clic para que este menú sea el objetivo al hacer clic con Mayús sobre objetos.,Clique para marcar esse menu como alvo de itens selecionados com shift,シフトクリックの対象になるメニューを選択する,,,点击以将此菜单作为Shift-点击物品的目标,XX
$button04_name,,Close Button,XX,Bouton Fermer,Pulsante 'Chiudi',Schließen-Knopf,Botón de cerrar,Botão de Fechar,閉じるボタン,,,关闭按钮,XX
$button04_tooltip,,Click to close this menu,XX,Clique pour fermer ce menu,Clicca per chiudere questo menu,"Klicke hier, um dieses Menü zu schließen",Haz clic para cerrar este menú.,Clique para fechar esse menu,クリックしてメニューを閉じる,,,点击以关闭此菜单,XX
$button05_tooltip,,Click to close this book,XX,Clique pour fermer ce livre,Clicca per chiudere questo libro,"Klicke hier, um dieses Buch zu schließen",Haz clic para cerrar este libro.,Clique para fechar esse livro,クリックして本を閉じる,,,点击以关闭这本书,XX
$button06_name,,Craft Button,XX,Bouton Artisanat,Pulsante 'Creazione',Fertigen-Knopf,Botón de creación,Botão de Criação,クラフトボタン,,,制造按钮,XX
$button06_tooltip,,Click to craft this item using the required ingredients,XX,Clique pour fabriquer cet objet à l'aide des ingrédients requis,Clicca per creare quest'oggetto usando gli ingredienti richiesti.,"Klicke hier, um diesen Gegenstand mit den benötigten Teilen herzustellen",Haz clic para crear este objeto usando los ingredientes necesarios.,Clique para criar um item usando os ingredientes necessários,クリックすると必要な材料を使用してアイテムをクラフトできる,,,点击以使用所需原料来制造此物品,XX
$button07_name,,Move Button,XX,Bouton Déplacer,Pulsante 'Movimento',Bewegen-Knopf,Botón de movimiento,Botão de Movimentação,ボタンを移動する,,,移动按钮,XX
$button07_tooltip,,Hold down on this button (or the menu bar) to move the menu around,XX,Maintiens le clic sur ce bouton (ou la barre de menu) pour déplacer le menu,Tieni premuto questo pulsante (o la barra del menu) per muovere il menu.,Halte diesen Knopf gedrückt (oder die Schaltfläche des Menüs) um das Menü zu verschieben,Mantén este botón (o la barra de menú) para mover el menú.,Segure esse botão (ou a barra do menu) para mover o menu,このボタンかメニューバーを押し続けてメニューを動かそう,,,长按此按钮(或菜单栏)以移动菜单,XX
$button08_name,,Quick Queen Button,XX,Bouton Reine rapide,Pulsante 'Regina Rapida',Schneller Königinnen-Knopf,Botón de reina rápida,Botão de Rainha rápida,女王クイックボタン,,,快速蜂后按钮,XX
$button08_tooltip,,Click to move two offspring automatically into the input slots,XX,Clique pour déplacer deux abeilles dans les cases de dépôt automatiquement,Clicca per spostare automaticamente due figli negli slot di entrata.,"Klicke hier, um zwei Nachkommen automatisch in den Bereich zum Hinzufügen zu verschieben",Haz clic para mover automáticamente dos crías a los espacios de entrada.,Clique para mover duas proles automaticamente para os espaços de entrada,クリックすると2匹の子バチを投入スロットに自動で移動する,,,点击以自动将两只后代移入输入槽位,XX
$button09_name,,Gate Marker,XX,Marqueur de portail,Indicatore porta,Tor-Marker,Marcador de puerta,Marcador de Portão,ゲートの印,,,大门标记,XX
$button09_tooltip,,Click to travel to this gate when active,XX,Clique pour te rendre à ce portail lorsqu'il est actif,Clicca per viaggiare verso questa porta quando è attiva.,"Hier klicken, um zu diesem Tor zu reisen, wenn es aktiv ist",Haz clic para viajar a esta puerta cuando esté activa.,Clique para viajar para este portão quando ativo,ゲートが開かれているとき、クリックするとゲートの先へ行く,,,点击以在此门开放时移动到该处,XX
$button10_name,,Save,XX,Sauvegarder,Salva,Speichern,Guardar,Salvar,セーブ,,,保存,XX
$button10_tooltip,,Click to save your progress,XX,Clique pour sauvegarder ta progression,Clicca per salvare i tuoi progressi.,"Hier klicken, um den Fortschritt zu speichern",Haz clic para guardar tu progreso.,Clique para salvar seu progresso,クリックして成果を記録,,,点击以保存你的进度,XX
$button11_name,,Feedback,XX,Avis,Feedback,Feedback,Enviar comentarios,Feedback,フィードバック,,,反馈,XX
$button11_tooltip,,Give us feedback or report a bug here,XX,Donne-nous ton avis ou signale un problème,Usalo per inviarci feedback o segnalarci un bug.,Gib uns hier Feedback oder teile uns Fehler mit,Aquí puedes enviarnos comentarios o informar sobre un error.,Nos dê seu feedback ou nos informe sobre bugs aqui,フィードバックやバグの報告はこちらから,,,在此给我们反馈或提交Bug,XX
$button12_name,,Main Menu,XX,Menu principal,Menu principale,Hauptmenü,Menú principal,Menu Principal,メインメニュー,,,主菜单,XX
$button12_tooltip,,Click to open the game menu,XX,Clique pour ouvrir le menu,Clicca per aprire il menu di gioco,"Hier klicken, um das Spielmenü zu öffnen",Haz clic para abrir el menú del juego.,Clique para abrir o menu do jogo,クリックしてゲームメニューを開く,,,点击以打开游戏菜单,XX
$button13_name,,Beenjamin's Tests,XX,Examens d'Hippolen,Prove di Favino,Bienjamins Proben,Pruebas de Abenjamín,Testes do Benjamel,蜂ノ宮博士のテスト,,,本杰蜜的测验,XX
