KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$flower_undiscovered,,Discover this flower to learn more about its effects!,XX,Découvre cette fleur pour en savoir plus sur ses effets !,Scopri questo fiore per saperne di più sui suoi effetti!,"Entdecke diese Blume, um mehr über ihre Wirkung zu erfahren!",¡Descubre esta flor para aprender más sobre sus efectos!,Estude essa flor para aprender mais sobre seus efeitos!,花を見つけて効果を見よう！,,,发现此花卉以对其效果了解更多!,
$flower_scent,,The scent of this flower is known to calm the following species:,XX,Le parfum de cette fleur est connu pour apaiser les espèces suivantes :,L'aroma di questo fiore è noto per riuscire a calmare le seguenti specie:,"Der Duft dieser Blume ist dafür bekannt, dass er die folgenden Arten beruhigt:",Se sabe que el aroma de esta flor tranquiliza a las siguientes especies:,O aroma dessa flor conhecidamente acalma as seguintes espécies:,この花の香りで落ち着かせることができる種：,,,这种花的香味可以安抚以下物种:,
$book3_1_id,,Overview,XX,Vue d'ensemble,Panoramica,Übersicht,Resumen,Visão Geral,概要,,,概览,XX
$book3_1_page2_de1,,"In this demo there's only 6 species of flower to discover, but in the full game there's over 15 different species to find across 3 different tiers.",XX,"Dans cette démo, il n'y a que 6 espèces de fleurs à découvrir, mais dans le jeu complet, plus de 15 espèces différentes sur 3 niveaux différents t'attendent.","In questa demo ci sono solo sei specie di fiori da scoprire, ma il gioco complete ne contiene oltre quindici, divise in tre diverse categorie.","In dieser Demo gibt es nur 6 Blumenarten zu entdecken, aber im vollständigen Spiel gibt es über 15 verschiedene Arten auf 3 verschiedenen Ebenen.","En esta demo solo hay seis especies de flores por descubrir, pero el juego completo tendrá más de quince especies diferentes en tres categorías distintas.","Nessa demo existem apenas 6 espécies diferentes para serem descobertas, mas no jogo completo existem mais de 15 espécies diferentes de 3 níveis diferentes.",デモでは6種類の花が見つけられるよ。ゲーム本編では15種類以上の花があり、3つのレベルに分けられるよ。,,,"在此试玩版中只有6种花卉等待发现, 但正式版游戏中有3个级别, 超过15种不同的种类可以寻找.",XX
$book3_1_page2_de2,,"Later tiers give even more interesting effects, like more special produce formed - or keeping bees awake later at night!",XX,"Les niveaux supérieurs donnent des effets encore plus intéressants, comme plus de produits spéciaux ou la possibilité de tenir les abeilles éveillées plus tard !","Le categorie più avanzate danno effetti ancora più interessanti, come la formazione di prodotto speciale - o la capacità di tenere le api sveglie di notte!","Spätere Stufen bieten noch interessantere Effekte, wie z. B. spezielle Naturalien oder das Wachhalten von Bienen in der Nacht!","Las categorías superiores otorgan efectos aún más interesantes, ¡como productos especiales o la capacidad de mantener a las abejas despiertas de noche!","Níveis avançados garantem efeitos ainda mais interessantes, como aumento da produção de itens especiais - ou manter as abelhas acordadas de noite!",レベルの高い種は効果も高いよ。特殊な生産の手助けをしてくれたり、夜でもハチに働かせることができたるするよ！,,,"后面的级别会有更有趣的效果, 比如形成更多特殊产物, 或者让蜜蜂在晚上保持清醒更长时间.",XX
$book3_2_id,,Cross-pollination,XX,Pollinisation croisée,Impollinazione incrociata,Fremdbestäubung,Polinización cruzada,Polinização cruzada,異花受粉,,,异花传粉,XX
$book3_2_page1_1,,Cross-breeding flowers is easy - your bees do all the hard work for you!,XX,Le croisement des fleurs est facile : tes abeilles font tout le travail pour toi !,L'ibridazione dei fiori è semplice - le api faranno tutto il lavoro per te!,Das Kreuzen von Blumen ist ganz einfach - deine Bienen erledigen die ganze Arbeit für dich!,El cruzamiento de flores es pan comido: ¡las abejas se encargan de todo el trabajo!,Cruzamento entre flores é simples - suas abelhas cuidam de tudo para você!,違う種類の花同士で受粉させるのは簡単 - ハチがたくさん働いてくれるよ！,,,"杂交花卉很容易, 你的蜜蜂会为你做所有艰辛的工作!",XX
$book3_2_page1_2,,"When a bee visits a flower it collects some pollen, seeds, and all sorts of other flower goop and takes it back to the hive.",XX,"Lorsqu'une abeille se pose sur une fleur, elle recueille du pollen, des graines et toutes sortes d'autres substances florales qu'elle ramène à la ruche.","Quando un'ape va su un fiore, raccoglie polline, semi e tutto il resto del materiale appiccicoso che trova e lo riporta all'alveare.","Wenn eine Biene eine Blüte besucht, sammelt sie Pollen, Samen und alle möglichen anderen Blütenteile ein und bringt sie zurück in den Bienenstock.","Cuando una abeja visita una flor, recoge algo de polen, semillas y todo tipo de viscosidades florales que después lleva a la colmena.","Quando uma abelha visita uma flor, ela coleta pólen, sementes e outros líquidos viscosos da flor e levam de volta para a colmeia.",ハチが花にとまると花粉やら種やら花についている液体なんかを集めて巣にもって帰るよ。,,,"蜜蜂造访花朵时会采集一些花粉, 种子以及花上各种粘稠的东西, 然后将它们带回蜂巢.",XX
$book3_2_page1_3,,"When using frames in your Apiaries, this goop collects in the frames and gets all mixed together!",XX,"Lorsque tu utilises des cadres dans tes ruchers, cette matière s'accumule dans les cadres et se mélange !",Questo materiale viscoso si raccoglie e si mescola insieme nei telai dei tuoi apiari!,"Wenn du Wabenrähmchen in deinem Bienenstöcken verwendest, sammelt sich diese Masse in den Rähmchen und vermischt sich mit ihnen!","Luego, ¡estas viscosidades se mezclan en los cuadros de tus apiarios!","Ao usar quadros em seu apiário, esses líquidos prendem no quadro e são misturados!",養蜂上でフレームを使うと、液体はフレームに集められてぜんぶミックスされるよ！,,,"在养蜂场中使用巢框时, 这些粘稠的东西会收入巢框中全部混合起来!",XX
$book3_2_page2_1,,"Based on the flowers your bees visit, you'll get different seeds when you extract your frames.",XX,"En fonction des fleurs butinées par tes abeilles, tu obtiendras des graines différentes lorsque tu extrairas tes cadres.","A seconda dei fiori visitati dalle tue api, avrai dei semi differenti che potrai estrarre dai tuoi telai.","Je nachdem, welche Blumen deine Bienen besuchen, erhältst du unterschiedliche Samen, wenn du deine Rähmchen entnimmst.","Según qué flores visiten tus abejas, obtendrás diferentes semillas que podrás extraer de tus cuadros.","Baseado nas flores que as suas abelhas visitarem, você terá sementes diferentes quando removê-las dos seus quadros.",キミのハチがとまった花によって、フレームから回収できる種が変わるよ。,,,"基于你的蜜蜂造访的花卉, 你在提取巢框时将收到不同的种子.",XX
$book3_2_page2_2,,"If you're lucky, the different seeds can mix, giving you new species hybrid seeds!",XX,"Si tu as de la chance, les différentes graines peuvent se mélanger et produire des graines hybrides de nouvelles espèces !","Con un po' di fortuna, semi diversi possono mischiarsi, facendoti ottenere dei semi ibridi di una nuova specie.","Wenn du Glück hast, können sich die verschiedenen Samen vermischen und du erhältst neue Arten von Hybridsamen!","Si tienes suerte, las semillas se cruzarán ¡y obtendrás una nueva especie de semilla híbrida!","Se tiver sorte, as sementes diferentes podem se misturar, gerando uma nova espécie de semente híbrida!",ラッキーなときは、違う種類の種がミックスされてハイブリッド種が手に入るよ！,,,"如果运气好, 不同的种子是可以杂交的. 给你新物种的杂交种子!",XX
$flower1_species,,Honeyrose,XX,Rosamiel,Rosamiele,Honigrose,Rosamiel,Rosa-de-mel,ハニーローズ,,,蜜玫瑰,XX
$flower1_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Rosa Hydromela,XX,Rosa Hydromela,Rosa Hydromela,Rosa Hydromela,Rosa Hydromela,Rosa Hydromela,Rosa Hydromela,,,Rosa Hydromela,XX
$flower1_hint,Found commonly in game in the forest,A red rose that can be found all over the lush forests that cover most of the Archipelago.,XX,Une rose rouge répandue dans les forêts luxuriantes qui couvrent la majeure partie de l'archipel.,Una rosa rossa che può essere trovata ovunque nella lussureggiante foresta che ricopre gran parte dell'arcipelago.,"Eine rote Rose, die überall in den üppigen Wäldern zu finden ist, die den größten Teil des Archipels bedecken.",Una rosa roja que se encuentra a lo largo de los frondosos bosques que cubren la mayor parte del archipiélago.,Uma rosa vermelha que é encontrada nas florestas verdejantes que se espalham pelo Arquipélago.,諸島の大部分を占める緑豊かな森中で咲いている赤いバラ。,,,在覆盖群岛大部分地区的茂密森林中生长的红玫瑰.,XX
