KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$lifespan0,"Represents the word for the 'life' trait of a bee, which is how long a queen will live for",Lifespan,X,Durée de vie,Longevità,Lebensdauer,Longevidad,Tempo de Vida,寿命,,,寿命,X
$lifespan1,Level 1 lifespan value (Shortest Life),Hyper,X,Éclair,Fugace,Ein Atemzug,Efímera,Fugaz,とても短い,,,极短,X
$lifespan2,Level 2 lifespan value,Rapid,X,Rapide,Rapida,Sehr kurz,Brevísima,Curtíssimo,短い,,,很短,X
$lifespan3,Level 3 lifespan value,Short,X,Courte,Corta,Kurz,Corta,Curto,やや短い,,,短,X
$lifespan4,Level 4 lifespan value,Normal,X,Normale,Normale,Normal,Normal,Normal,ふつう,,,普通,X
$lifespan5,Level 5 lifespan value,Long,X,Longue,Lunga,Lang,Larga,Longo,やや長い,,,长,X
$lifespan6,Level 6 lifespan value,Ancient,X,Ancienne,Antica,Sehr lang,Longeva,Anciã,長い,,,很长,X
$lifespan7,Level 7 lifespan value (Longest Life),Eternal,X,Éternelle,Eterna,Ewig,Eterna,Eterna,永遠,,,永恒,X
$productivity0,"Represents the word for the 'productivity' trait of a bee, how much produce the bee will make in it's life",Productivity,X,Productivité,Produttività,Produktivität,Productividad,Produtividade,はたらき,,,生产力,X
$productivity1,Level 1 productivity value (Slowest Production),Sluggish,X,Paresseuse,Inerte,Träge,Pasmosa,Preguiçosa,とても遅い,,,极慢,X
$productivity2,Level 2 productivity value ,Slowest,X,Flâneuse,Lentissima,Sehr langsam,Lentísima,Lerdíssima,遅い,,,很慢,X
$productivity3,Level 3 productivity value ,Slow,X,Lente,Lenta,Langsam,Lenta,Lerda,やや遅い,,,慢,X
$productivity4,Level 4 productivity value ,Normal,X,Normale,Normale,Normal,Normal,Normal,ふつう,,,普通,X
$productivity5,Level 5 productivity value ,Fast,X,Rapide,Veloce,Schnell,Rápida,Veloz,やや速い,,,快,X
$productivity6,Level 6 productivity value ,Fastest,X,Active,Velocissima,Sehr schnell,Rapidísima,Velocíssima,速い,,,很快,X
$productivity7,Level 7 productivity value (Fastest Production),Brisk,X,Vive,Incredibile,Äußerst flink,Briosa,Incansável,とても速い,,,极快,X
