KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$keys_up,Shown in controls menu,Move Up,XX,Haut,Alto,Hoch laufen,Arriba,Mover-se para cima,上へ進む,,,向上移动,XX
$keys_left,Shown in controls menu,Move Left,XX,Gauche,Sinistra,Links laufen,Izquierda,Mover-se para baixo,左へ進む,,,向左移动,XX
$keys_right,Shown in controls menu,Move Right,XX,Droite,Destra,Rechts laufen,Derecha,Mover-se à direita,右へ進む,,,向右移动,XX
$keys_down,Shown in controls menu,Move Down,XX,Bas,Basso,Runter laufen,Abajo,Mover-se à esquerda,下へ進む,,,向下移动,XX
$keys_inventory,"Shown in controls menu, opening the player inventory",Open Inventory,XX,Ouvrir l'inventaire,Apri inventario,Inventar öffnen,Abrir inventario,Abrir inventário,インベントリを開く,,,打开物品栏,XX
$keys_close,"Shown in controls menu, closing all menus",Close Menus,XX,Fermer les menus,Chiudi menu,Menü schließen,Cerrar menús,Fechar menus,メニューを閉じる,,,关闭菜单,XX
$keys_toggle,"Shown in controls menu, expanding hover tooltips, or snapping items to the grid",Expand Tooltips / Snap To Grid,XX,Développer les infobulles / Ajuster sur la grille,Espandi descrizioni/Aggancia alla griglia,Hinweise aufklappen/am Raster ausrichten,Expandir descripciones/Enviar a la cuadrícula,Mostrar dicas / Ajustar à grade,ツールヒントを開く / グリッドにスナップ,,,展开提示/对齐网格,XX
$keys_book1,Shown in controls menu,Open Guide,XX,Ouvrir le guide,Apri guida,Leitfaden öffnen,Abrir la guía,Abrir guia,ガイドを開く,,,打开指南,XX
$keys_book2,Shown in controls menu,Open Almanac,XX,Ouvrir l'almanach,Apri almanacco,Almanach öffnen,Abrir el almanaque,Abrir almanaque,ハチ図鑑を開く,,,打开养蜂人图鉴,XX
$keys_book3,Shown in controls menu,Open Folio,XX,Ouvrir le recueil,Apri volume,Buch öffnen,Abrir el libro,Abrir fólio,植物図鑑を開く,,,打开植物图鉴,XX
$keys_book4,Shown in controls menu,Open Map,XX,Ouvrir la carte,Apri mappa,Karte öffnen,Abrir el mapa,Abrir mapa,地図を開く,,,打开地图,XX
$keys_photo,Shown in controls menu,Toggle Photo Mode,XX,Basculer en mode photo,Attiva modalità foto,Fotomodus an/aus,Activar el modo Foto,Ativar modo fotografia,フォトモード,,,切换照片模式,XX
$keys_target,Shown in controls menu,Set Menu Target,XX,Définir le menu cible,Imposta menu obiettivo,Menüziel festlegen,Establecer menú objetivo,Definir alvo de menu,操作するメニューを選択,,,设定菜单目标,XX
$seperator_book1_0,"Shown in tooltips in the book, chapter 'overview' title",Introduction,XX,Introduction,Introduzione,Einführung,Introducción,Introdução,イントロダクション,,,入门,XX
$seperator_book1_d0,"Shown in tooltips in the book, chapter description",Chapters on getting started and controls.,XX,Chapitres sur la prise en main et les commandes.,Capitoli su come iniziare e i controlli.,Kapitel über die ersten Schritte und die Steuerung,Capítulos sobre cómo empezar y los controles.,Capítulos sobre como começar e controles.,スタートガイドと操作方法,,,关于如何上手以及操控的章节.,XX
$seperator_book1_1,"Shown in tooltips in the book, chapter 'overview' title",Crafting,XX,Artisanat,Creazione,Herstellen,Creación,Criação,クラフト,,,制造,XX
$seperator_book1_d1,"Shown in tooltips in the book, chapter description",Chapters on crafting and machines.,XX,Chapitres sur l'artisanat et les machines.,Capitoli sulla creazione di oggetti e sulle macchine.,Kapitel über das Erstellen und Maschinen,Capítulos sobre la creación y las máquinas.,Capítulos sobre criação e máquinas.,クラフトと器具や道具について,,,关于制造与机器的章节.,XX
$seperator_book1_2,"Shown in tooltips in the book, chapter 'overview' title",Tips and Tricks,XX,Astuces,Consigli e trucchi,Tipps und Tricks,Consejos y trucos,Dicas e Truques,ヒントと仕組み,,,提示和技巧,XX
$seperator_book1_d2,"Shown in tooltips in the book, chapter description",Chapters with various tips and tricks.,XX,Chapitres sur diverses astuces.,Capitoli dedicati a vari consigli e trucchi.,Kapitel mit diversen Tipps und Tricks,Capítulos con varios consejos y trucos.,Capítulos com várias dicas e truques.,様々なヒントと仕組み,,,有许多提示和技巧的章节.,XX
$seperator_book1_3,"Shown in tooltips in the book, chapter 'overview' title",Beekeeping,XX,Apiculture,Apicoltura,Imkerei,Apicultura,Apicultura,養蜂,,,养蜂,XX
$seperator_book1_d3,"Shown in tooltips in the book, chapter description",Chapters on all things bee-related.,XX,Chapitres sur l'apiculture.,Capitoli su tutto ciò che è relativo alle api.,"Kapitel über alles, was mit Bienen zu tun hat",Capítulos sobre todo lo relacionado a las abejas.,Capítulos sobre tudo o que precisa saber sobre abelhas.,ハチに関する全てのこと,,,所有和蜜蜂相关内容的章节.,XX
$seperator_book1_4,"Shown in tooltips in the book, chapter 'overview' title",Liquids,XX,Liquides,Liquidi,Flüssigkeiten,Líquidos,Líquidos,液体,,,液体,XX
$seperator_book1_d4,"Shown in tooltips in the book, chapter description",Chapters on using and storing liquids.,XX,Chapitre sur l'utilisation et le stockage des liquides.,Capitoli su come si usano e si conservano i liquidi.,Kapitel über die Verwendung und Lagerung von Flüssigkeiten.,Capítulos sobre cómo usar y almacenar líquidos.,Capítulos sobre como usar e armazenar líquidos.,液体の使用と貯蔵について,,,关于使用和储存液体的章节.,XX
$seperator_book1_5,"Shown in tooltips in the book, chapter 'overview' title",Exploration,XX,Exploration,Esplorazione,Erkundung,Exploración,Exploração,探検,,,探索,XX
$seperator_book1_d5,"Shown in tooltips in the book, chapter description",Chapters on exploring and sailing.,XX,Chapitres sur l'exploration sur terre et en mer.,Capitoli su esplorazione e navigazione.,Kapitel über Erkundung und Segeln.,Capítulos sobre exploración y navegación.,Capítulos sobre exploração e navegação.,探検と航海について,,,关于探索和航海的章节.,XX
