KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$book1_1_id,Chapter title,Welcome to APICO,XX,Bienvenue dans APICO !,Questo è Apico!,Willkommen bei APICO,Esto es APICO,Bem-vindo a APICO,APICOへようこそ,,,欢迎来到蜂语镇,XX
$book1_1_page1_1,,"Welcome to APICO, a game about discovering and breeding bees!",XX,"Bienvenue dans APICO, le jeu de découverte et d’élevage d'abeilles !","Ti diamo il benvenuto in Apico, un gioco sulla scoperta e l'allevamento delle api!","Willkommen bei APICO, einem Spiel über die Entdeckung und Zucht von Bienen!","Te damos la bienvenida a APICO, ¡un juego sobre descubrir y cruzar abejas!","Bem-vindo a APICO, um jogo sobre descobrir e criar abelhas!",APICOへようこそ、ハチを発見して育てるゲームだよ！,,,"欢迎来到蜂语镇, 这是一款发现与养殖蜜蜂的游戏!",XX
$book1_1_page1_2,,This book will serve as your guide throughout the game.,XX,Ce livre te servira de guide tout au long du jeu.,Questo libro ti servirà da guida per tutto il corso del gioco.,Dieses Buch wird dir als Leitfaden durch das Spiel dienen.,Este libro te servirá de guía a lo largo del juego.,Esse livro será seu guia ao longo desse jogo.,本はゲーム中のガイドになるよ。,,,这本书将在整个游戏过程中为你提供指引.,XX
$book1_1_page1_3,,"If you get stuck, lost, stung by bees - this book is here to help.",XX,"Si tu as des ennuis ou que tu te perds, ce livre est là pour toi.",Se ti blocchi o le api dovessero pungerti - questo libro è qui per aiutarti.,"Egal ob du mal hängen bleibst, dich verirrst oder von Bienen gestochen wirst - dieses Buch hilft dir weiter.","Si no sabes qué hacer, te pierdes o te pica una abeja, este libro te ayudará.","Se não souber o que fazer, se perder ou estiver sofrendo com picadas de abelhas - esse livro está aqui para te ajudar.",行き詰まったり、迷子になったり、ハチに刺されたら - 本を読んでみよう。,,,"如果你被困住了, 迷路了, 或是被蜜蜂蛰了, 这本书都可以给你提供帮助.",XX
$book1_1_page1_4,,You can open and close this book at anytime by pressing ◐ or clicking the icon in the bottom middle toolbar.,XX,Tu peux ouvrir et fermer ce livre à tout moment en appuyant sur ◐ ou en cliquant l'icône dans la barre inférieure centrale.,Puoi aprire e chiudere questo libro in qualsiasi momento premendo ◐ o cliccando sull'icona nella barra inferiore centrale..,"Du kannst dieses Buch jederzeit öffnen und schließen, indem du ◐ drückst oder auf das Symbol in der unteren mittleren Symbolleiste klickst.",Puedes abrir y cerrar este libro en cualquier momento con ◐ o haciendo clic en el ícono en la barra que está abajo al medio.,Você pode abrir e fechar esse livro quando quiser apertando ◐ ou clicando no ícone na barra inferior centralizada.,◐を押すかツールバーの真ん中にあるアイコンをクリックするといつでも本を開いたり閉じたりできるよ。,,,"你可以随时打开或关闭这本书, 只需按◐或是点击屏幕底部中心的工具栏即可.",XX
$book1_1_page1_gp4,,You can open and close this book at anytime by pressing ⑪.,XX,Tu peux ouvrir et fermer ce livre à tout moment en appuyant sur ⑪.,Puoi aprire e chiudere questo libro in qualsiasi momento premendo ⑪.,Du kannst dieses Buch jederzeit mit der Taste ⑪ öffnen und schließen.,Puedes abrir y cerrar este libro en cualquier momento con ⑪.,Você pode abrir e fechar esse livro quando quiser apertando ⑪.,⑪を押すといつでも本を開いたり閉じたりできるよ。,,,你可以随时按⑪来打开或关闭这本书.,XX
$book1_1_page2_1,,You can close any books and all menus in the game by pressing ▣.,XX,Tu peux fermer tous les livres et menus du jeu en appuyant sur ▣.,Puoi chiudere tutti i libri e i menu del gioco premendo ▣.,"Du kannst jedes Buch und alle Menüs im Spiel schließen, indem du ▣ drückst.",Puedes cerrar cualquier libro o menú del juego con ▣.,Você pode fechar qualquer livro e todos os menus no jogo apertando ▣.,▣を押すとゲーム内の全てのメニューや本を閉じられるよ。,,,你可以按▣来关闭所有书和菜单.,XX
$book1_1_page2_2,,"As you progress you'll unlock new chapters, each with their own challenges and rewards.",XX,"Au fur et à mesure de ta progression, tu débloqueras de nouveaux chapitres, chacun avec ses propres défis et récompenses.","Progredendo sbloccherai nuovi capitoli, ognuno con le proprie sfide e ricompense.","Mit jedem Fortschritt schaltest du neue Kapitel frei, die jeweils ihre eigenen Herausforderungen und Belohnungen bieten.","A medida que avances, desbloquearás capítulos nuevos: cada uno tiene sus propios desafíos y recompensas.","Conforme progride, você liberará novos capítulos, cada um com seus desafios e recompensas.",ゲームを進めると、新しい章のクエストや報酬がアンロックされるよ。,,,"随着游戏进度的推进, 你将解锁新的章节, 每个章节都有各自的挑战和奖励.",XX
$book1_1_page2_3,"Freebee' being the pun here, obviously won't work as direct translation, general idea is a bee themed 'free' thing or gift. Whatever Name you give the bee needs to match the name used in $book1_20_page2_2 (row141 in this sheet) and the name used in the achievement sheet, $notification_a07_title (row 8) and $notification_a07_desc (row 46) as it's all connected","As this is your first chapter, have a freebee! Keep her safe, her name is Beeatrice.",XX,"Comme c'est ton premier chapitre, prend cet apicadeau ! Garde-la en sécurité. Elle s'appelle Beillatrice.","Essendo il tuo primo capitolo, ecco un piccolo regalo! Tienila al sicuro, si chiama Melissa.","Da dies dein erstes Kapitel ist, bekommst du eine Gratisbiene! Pass gut auf sie auf. Ihr Name ist Bienatrice.","Como este es tu primer capítulo, ¡te damos un regalito! Cuídala bien; se llama Abelina.","Como esse é o seu primeiro capítulo, tome esse presente de abelhas-vindas! Ela se chama Melissa, cuide bem dela.",これがキミの序章だ。ハチをプレゼントするよ！ハッチって名前だ。大事にしてあげてね。,,,"你才刚开始第一章, 就免费送你一只蜜蜂吧! 她的名字叫蜜阿特丽斯, 要好好照顾她喔.",XX
$book1_1_page2_gp1,,You can close any books and menus in the game by pressing ④.,XX,Tu peux fermer tous les livres et menus du jeu en appuyant sur ④.,Puoi chiudere tutti i libri e i menu del gioco premendo ④.,Du kannst alle Bücher und Menüs im Spiel durch Drücken von ④ schließen.,Puedes cerrar cualquier libro o menú del juego con ④.,Você pode fechar qualquer livro ou menu no jogo apertando ④.,④を押すとゲーム内のメニューや本を閉じられるよ。,,,你可以按④来关闭任意书和菜单.,XX
